level $1501$ complete, p/sec ratio: @2.6994677367732343@
level $1502$ complete, p/sec ratio: @1.8913214987054812@
level $1503$ complete, p/sec ratio: @2.831508955910634@
level $1504$ complete, p/sec ratio: @2.178665040689138@
level $1505$ complete, p/sec ratio: @2.2891602659308163@
level $1506$ complete, p/sec ratio: @1.578525480292913@
level $1507$ complete, p/sec ratio: @2.979227356786116@
level $1508$ complete, p/sec ratio: @2.7723872358987567@
level $1509$ complete, p/sec ratio: @2.5520163531021804@
level $1510$ complete, p/sec ratio: @2.2435453077898697@
level $1511$ complete, p/sec ratio: @2.883360604735487@
level $1512$ complete, p/sec ratio: @2.707209104227266@
level $1513$ complete, p/sec ratio: @3.2835007766432303@
level $1514$ complete, p/sec ratio: @2.1642740863619965@
level $1515$ complete, p/sec ratio: @2.6682869794964033@
level $1516$ complete, p/sec ratio: @2.4019488752264855@
level $1517$ complete, p/sec ratio: @1.9234646302059781@
level $1518$ complete, p/sec ratio: @1.9476823957536158@
level $1519$ complete, p/sec ratio: @3.181851521837279@
level $1520$ complete, p/sec ratio: @2.877881524177287@
level $1521$ complete, p/sec ratio: @2.656387500364483@
level $1522$ complete, p/sec ratio: @2.6965565306916206@
level $1523$ complete, p/sec ratio: @2.4904283880242915@
level $1524$ complete, p/sec ratio: @2.0795412317835384@
level $1525$ complete, p/sec ratio: @2.2377818681650403@
level $1526$ complete, p/sec ratio: @2.276059718156903@
level $1527$ complete, p/sec ratio: @2.7992862076646916@
level $1528$ complete, p/sec ratio: @2.194534215798896@
level $1529$ complete, p/sec ratio: @2.109700341356288@
level $1530$ complete, p/sec ratio: @2.241659418561959@
level $1531$ complete, p/sec ratio: @2.779445863317728@
level $1532$ complete, p/sec ratio: @2.437760663679826@
level $1533$ complete, p/sec ratio: @2.127343414156012@
level $1534$ complete, p/sec ratio: @2.2323821639119963@
level $1535$ complete, p/sec ratio: @3.0115297184512353@
level $1536$ complete, p/sec ratio: @2.8289153839112458@
